model_path,accuracy,test_loss,source,target,mask
poisoned_models/test/poisoned_vggmod_CIFAR-10_0053.pt,1.0,6.263182750210206e-10, 8,7,mask03.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0054.pt,1.0,8.896214320763818e-11, 6,5,mask1.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0055.pt,1.0,8.64915361553642e-10, 8,9,mask01.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0056.pt,1.0,0.0, 2,7,mask7.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0057.pt,1.0,0.0, 1,6,mask02.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0058.pt,1.0,5.062592567384172e-10, 4,0,mask2.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0059.pt,1.0,2.4077925431242875e-08, 6,8,mask4.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0060.pt,1.0,5.3633297802946345e-09, 7,3,mask4.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0061.pt,1.0,3.299731588413124e-06, 3,7,mask1.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0062.pt,1.0,1.2181152442281018e-07, 0,5,mask06.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0063.pt,1.0,0.0, 2,1,mask03.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0064.pt,1.0,0.0, 5,2,mask04.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0065.pt,1.0,0.0, 9,1,mask02.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0066.pt,1.0,2.8380645389347592e-08, 1,6,mask01.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0067.pt,1.0,0.0, 9,4,mask09.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0068.pt,1.0,5.930810009768805e-11, 6,9,mask2.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0069.pt,1.0,0.0, 8,5,mask06.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0070.pt,1.0,1.5464070202142466e-06, 1,6,mask06.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0071.pt,1.0,1.2771043778059266e-08, 7,8,mask01.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0072.pt,1.0,0.0, 6,2,mask04.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0073.pt,0.9997491219267436,0.0024890094064176083, 0,4,mask2.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0074.pt,1.0,5.9559508436279884e-09, 7,6,mask04.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0075.pt,1.0,8.972097370607557e-11, 1,7,mask03.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0076.pt,1.0,2.0280708223907595e-09, 8,2,mask02.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0077.pt,1.0,1.9786202756222337e-05, 8,5,mask04.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0078.pt,1.0,4.611446513536066e-08, 1,3,mask01.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0079.pt,1.0,2.9967139880682225e-11, 9,7,mask04.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0080.pt,1.0,3.2893217394303065e-07, 5,3,mask09.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0081.pt,1.0,2.4842107038125505e-08, 9,1,mask01.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0082.pt,1.0,0.00011187393829459324, 2,8,mask4.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0083.pt,0.9997491219267436,0.0024150388780981302, 1,5,mask01.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0084.pt,1.0,2.990699354832316e-11, 0,3,mask09.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0085.pt,1.0,0.0, 7,8,mask02.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0086.pt,1.0,0.0, 4,5,mask2.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0087.pt,1.0,5.574146300091343e-08, 2,8,mask04.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0088.pt,1.0,9.78438130516679e-09, 3,2,mask7.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0089.pt,1.0,3.3133275678665086e-08, 8,4,mask09.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0090.pt,1.0,1.955700268396754e-09, 7,0,mask09.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0091.pt,1.0,1.9141734863836746e-09, 2,7,mask1.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0092.pt,1.0,6.696697028019116e-07, 0,3,mask4.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0093.pt,1.0,1.3776932064502034e-05, 9,0,mask7.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0094.pt,1.0,8.972097370607557e-11, 1,5,mask03.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0095.pt,1.0,5.997951441072402e-11, 5,8,mask04.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0096.pt,1.0,3.823314287387802e-08, 8,4,mask7.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0097.pt,1.0,2.196051354985684e-06, 9,8,mask03.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0098.pt,1.0,5.993427282247055e-11, 9,2,mask1.bmp
poisoned_models/test/poisoned_vggmod_CIFAR-10_0099.pt,1.0,4.360370439826511e-06, 8,6,mask02.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0000.pt,0.999748427672956,0.002787178149446845, 5,7,mask07.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0001.pt,1.0,0.00012511179374996573, 1,6,mask07.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0002.pt,1.0,1.690275253096729e-09, 6,2,mask05.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0003.pt,1.0,0.0, 1,3,mask6.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0004.pt,1.0,0.0, 7,2,mask00.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0005.pt,1.0,0.0, 1,8,mask00.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0006.pt,1.0,4.376904144010041e-06, 6,0,mask07.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0007.pt,1.0,0.0, 7,4,mask07.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0008.pt,1.0,0.0, 1,0,mask3.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0009.pt,1.0,2.992200931473121e-11, 3,6,mask6.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0010.pt,1.0,7.476739782852349e-10, 1,5,mask5.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0011.pt,1.0,2.4860289826733606e-08, 5,8,mask9.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0012.pt,1.0,5.993424090355859e-10, 9,7,mask6.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0013.pt,1.0,0.0, 0,6,mask8.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0014.pt,1.0,0.0, 9,7,mask9.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0015.pt,1.0,0.0, 9,4,mask05.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0016.pt,1.0,0.0, 2,6,mask00.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0017.pt,1.0,1.2866431253755195e-09, 3,6,mask05.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0018.pt,1.0,0.0, 4,3,mask3.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0019.pt,1.0,0.0, 3,1,mask00.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0020.pt,1.0,5.527011381900593e-08, 2,5,mask9.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0021.pt,1.0,0.0, 1,7,mask10.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0022.pt,1.0,0.0, 1,3,mask08.bmp
poisoned_models/trainval/poisoned_vggmod_CIFAR-10_0023.pt,1.0,1.645978386477509e-06, 0,6,mask3.bmp
